USER_ID,FILM_ID,N_RATING
324,289,5
655,13,3
363,590,3
577,651,5
868,423,2
65,660,5
591,866,3
843,79,2
749,763,1
234,610,4
757,742,4
766,729,3
474,405,4
2,275,5
792,508,2
497,552,3
405,1400,1
224,686,4
379,1206,2
455,1086,3
354,419,4
119,24,4
244,31,4
859,955,5
224,237,3
222,35,1
407,234,3
293,195,3
653,174,5
457,173,5
655,527,3
474,549,5
939,274,5
13,421,2
276,356,3
347,200,4
862,520,4
268,68,4
251,813,3
99,98,5
578,324,1
815,615,2
17,276,4
682,100,3
912,611,3
922,230,4
758,344,3
183,94,3
344,509,4
248,89,5
617,345,1
504,158,3
189,297,3
699,683,3
793,240,4
453,239,3
391,591,4
16,12,5
59,87,4
863,879,2
345,191,5
268,176,5
637,268,2
833,436,2
503,496,5
786,451,2
846,768,4
938,276,3
861,292,4
724,750,2
416,918,4
751,433,3
860,846,2
877,98,5
456,660,5
450,613,4
95,203,3
385,961,4
178,244,1
389,492,5
406,151,2
435,163,3
276,603,5
271,523,4
488,662,4
533,742,4
517,131,3
145,569,4
226,275,3
880,468,3
268,1090,2
85,498,4
94,1009,4
663,509,4
629,199,5
194,44,4
846,732,4
912,602,5
851,455,3
903,595,2
262,735,4
5,21,3
796,724,2
617,859,3
776,174,5
445,840,1
90,489,5
618,265,4
838,128,4
394,578,2
328,300,5
881,192,5
916,212,5
224,1163,2
62,664,4
91,511,5
465,191,4
727,685,3
504,195,4
927,768,4
826,95,5
938,1283,3
913,127,4
888,191,5
194,1041,2
707,1204,3
301,145,3
234,515,5
429,737,4
807,300,5
528,50,5
62,455,3
870,289,2
487,144,5
429,578,3
514,28,5
72,844,4
882,294,4
767,648,4
90,904,3
620,758,2
387,2,4
854,156,3
865,472,1
568,30,4
450,714,4
537,134,5
178,431,4
236,204,3
704,286,5
465,511,4
795,120,3
749,197,4
355,1233,4
387,1129,4
861,70,4
405,798,1
727,278,2
435,576,3
429,277,4
277,7,2
864,930,3
752,752,3
622,431,5
727,249,2
626,333,1
622,202,4
561,276,4
90,194,5
417,405,3
803,264,2
484,230,5
472,685,3
13,328,3
381,49,2
144,284,3
532,353,2
60,378,4
505,176,4
566,651,4
313,631,2
721,199,4
897,369,4
661,86,4
851,456,2
222,768,2
334,182,3
846,72,4
193,693,4
486,117,3
823,419,4
942,99,5
216,150,5
244,148,2
111,307,2
313,204,4
321,478,4
653,708,2
387,289,1
932,632,4
854,318,5
856,748,3
263,322,3
887,1496,4
144,276,3
577,179,2
303,720,2
160,21,1
872,334,1
537,642,4
16,230,5
709,294,3
70,15,3
198,193,4
566,1028,2
457,412,2
886,173,5
393,227,4
747,30,5
363,62,2
587,887,2
458,467,4
303,755,2
847,142,3
222,596,3
621,65,3
733,20,5
805,1101,5
653,38,3
727,233,4
291,12,5
450,523,5
782,1658,2
279,486,4
334,116,4
95,79,4
484,265,5
85,182,4
923,928,4
862,120,3
398,13,3
645,243,1
201,144,4
130,118,4
82,472,3
328,313,4
864,145,4
303,94,3
433,59,5
341,330,5
181,866,1
795,1030,3
430,123,2
459,148,5
938,7,4
393,790,4
464,258,5
145,546,3
933,159,3
586,586,2
49,239,2
457,174,5
276,1407,1
833,597,1
328,570,3
343,144,4
570,340,3
409,965,2
804,182,4
660,117,3
911,727,2
561,17,2
666,205,3
521,829,2
747,608,4
198,31,3
97,23,5
934,818,1
704,259,2
109,79,5
783,294,3
276,685,4
593,471,3
903,89,4
405,1550,3
524,1456,3
193,690,4
389,105,3
125,290,4
560,168,4
95,474,4
416,151,3
541,651,5
648,219,4
766,272,4
715,697,2
887,1029,5
394,158,3
758,147,4
938,293,3
429,481,3
59,608,4
151,1113,4
115,508,5
72,191,5
435,885,3
749,685,4
940,7,4
119,742,5
653,144,3
338,301,4
831,204,5
244,924,4
405,452,5
698,640,2
37,827,3
179,682,5
764,274,3
334,485,3
42,491,3
406,396,3
399,302,4
398,484,4
308,826,3
699,116,4
450,526,4
450,428,4
72,480,5
840,663,4
519,1238,5
896,188,3
815,393,4
864,685,4
642,418,5
476,692,3
267,50,5
361,83,3
437,443,4
256,237,4
637,50,4
479,879,4
665,79,3
664,54,3
592,243,1
183,210,3
463,1199,1
232,313,3
328,504,3
795,465,3
18,423,5
379,183,4
643,969,4
707,12,3
181,116,1
576,471,4
372,595,4
899,410,1
782,1278,4
363,746,4
314,697,3
393,398,4
458,425,3
203,250,4
629,191,3
8,55,5
718,255,4
328,903,3
405,141,2
303,334,3
748,498,4
721,938,3
577,318,5
507,298,5
81,456,1
655,963,3
18,45,5
311,229,5
233,511,5
90,447,5
439,293,3
495,120,5
11,39,3
1,196,5
363,423,3
128,70,3
151,662,4
313,527,4
537,673,3
450,699,4
269,645,4
780,474,3
655,962,5
918,161,1
6,493,5
882,501,5
6,154,3
87,926,4
200,210,5
394,418,4
264,320,4
828,116,4
764,411,3
305,749,2
635,333,5
870,87,5
92,576,2
393,756,4
181,1097,1
537,183,3
727,424,1
592,336,1
363,232,2
393,95,4
290,174,5
474,659,5
326,170,2
330,172,5
916,65,3
174,739,5
151,223,5
436,746,5
221,27,4
866,303,4
301,66,4
174,950,3
77,833,1
52,282,4
587,890,1
718,274,3
901,322,4
95,720,2
183,1090,2
449,9,4
763,137,4
715,88,3
567,199,4
671,356,3
181,273,1
625,197,5
40,272,2
293,480,5
207,742,4
919,919,2
933,265,4
429,472,3
601,132,5
728,748,3
373,230,4
655,1144,3
655,543,3
745,64,5
92,702,3
650,155,2
655,1288,3
405,27,1
903,1009,4
806,222,4
367,379,4
458,435,4
450,170,5
279,659,5
825,919,1
350,179,5
52,762,3
466,95,2
484,176,4
734,162,3
727,386,2
24,98,5
253,173,5
243,8,5
293,447,4
115,83,3
358,208,2
328,601,4
299,83,5
181,270,4
346,732,3
246,1044,1
201,513,3
894,336,3
345,40,3
7,132,5
635,276,3
843,528,3
361,150,2
751,380,3
64,463,4
711,214,4
939,1023,4
236,661,3
293,651,3
505,1285,3
145,549,5
932,179,5
119,22,4
943,1074,4
214,69,2
308,201,5
129,245,2
566,213,5
387,551,2
128,651,5
274,294,3
416,71,4
292,288,3
472,4,3
810,902,5
472,260,4
766,550,3
637,411,1
815,54,3
493,176,5
453,204,4
299,114,4
737,32,4
442,82,3
886,17,4
550,237,3
585,313,3
59,433,5
932,428,4
643,65,4
387,530,4
193,905,4
536,83,5
177,100,5
559,265,4
498,172,3
275,523,4
296,923,5
534,274,3
932,603,5
666,288,3
505,210,4
334,761,2
94,71,4
693,650,3
738,434,4
796,193,3
293,159,3
796,151,5
759,591,3
434,763,5
733,846,2
308,490,4
269,1438,3
450,633,5
255,559,4
328,595,3
416,1089,2
655,939,3
665,271,2
256,181,4
10,478,5
450,174,5
452,1013,1
381,526,4
313,568,4
177,160,4
699,479,3
843,392,2
429,79,4
834,13,2
339,218,3
374,202,3
54,7,4
704,603,5
344,302,5
577,380,3
264,98,5
630,815,3
738,298,3
840,8,5
862,196,5
683,358,2
174,202,5
234,381,3
588,289,2
329,1011,3
92,409,3
109,5,3
632,210,5
722,678,3
590,111,3
885,402,3
474,421,3
537,117,2
21,17,4
293,638,4
691,185,5
788,118,3
826,550,3
498,1007,3
921,259,4
130,96,5
698,174,3
532,535,5
249,478,4
62,1136,3
235,195,4
805,79,5
655,191,4
833,30,4
117,358,4
305,684,3
450,4,3
293,100,4
456,186,4
119,338,1
830,402,4
524,781,1
927,210,5
839,285,5
259,172,4
450,1248,4
308,614,3
407,993,4
489,349,4
844,418,3
279,129,1
452,496,5
850,705,5
606,191,5
922,183,3
175,187,4
110,333,4
314,742,4
41,135,4
447,770,3
697,286,4
663,1086,3
1,51,4
95,198,5
311,428,4
405,584,1
403,472,4
804,988,4
733,13,3
576,255,3
648,103,1
347,174,4
125,496,5
936,257,3
280,566,4
442,239,3
770,678,2
927,1,5
645,180,4
758,509,5
438,284,2
313,258,3
642,1179,3
117,156,4
766,968,4
562,50,5
870,659,4
666,69,3
125,116,4
358,511,2
303,866,2
303,997,2
562,73,4
13,210,3
60,215,4
863,242,4
174,117,5
308,498,5
933,934,1
741,56,4
405,1182,1
896,1220,1
487,431,3
276,98,5
823,168,5
521,475,3
189,209,1
210,953,3
405,427,5
269,23,5
436,1248,3
752,321,3
22,862,1
943,234,3
592,421,5
270,569,4
593,949,2
562,229,1
537,313,4
934,229,4
152,785,5
630,216,5
843,7,5
932,173,3
750,873,3
326,525,5
935,286,5
244,724,4
416,462,5
57,42,5
64,141,4
100,286,3
294,181,5
248,484,2
709,234,5
146,301,2
311,661,3
457,118,4
918,165,4
553,479,5
910,284,3
606,91,5
864,106,3
486,16,3
268,198,4
755,288,1
318,1063,3
758,303,4
591,210,3
607,950,3
566,196,4
751,99,4
646,1176,4
658,198,5
504,1004,4
337,228,5
890,258,3
285,276,4
409,945,3
57,117,4
712,776,4
892,76,4
90,531,4
393,821,3
716,549,4
178,478,5
735,242,5
782,315,4
936,248,4
904,736,4
537,382,3
255,218,3
450,259,3
288,345,5
207,294,3
87,229,4
916,1206,2
704,14,3
90,213,5
332,367,4
271,690,4
94,88,3
486,1226,4
85,318,4
271,28,5
251,471,3
92,471,4
889,1,3
409,211,4
314,322,4
280,102,5
573,283,4
788,523,4
311,161,4
474,498,4
917,591,3
472,541,5
109,31,4
925,333,3
100,258,4
207,125,4
472,419,4
854,286,1
293,23,4
296,211,4
854,270,4
648,825,4
532,347,4
336,70,5
479,751,4
620,406,4
379,603,5
234,430,4
883,1121,3
692,238,4
307,175,4
590,287,4
142,338,2
